customerid,record_date,monthlycharges,totalcharges,customerservicecalls,state,city,zipcode,latitude,longitude,gender,seniorcitizen,partner,dependents,tenuremonths,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,cltv
9732-KPKBW,2021-08-01,0.00000000,0.00000000,0,California,Oroville,95966,39.47389600,-121.41592700,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,2771
6629-CZTTH,2021-08-01,0.00000000,0.00000000,0,California,Orange,92865,33.82877900,-117.84829900,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,4629
0013-MHZWF,2021-08-01,79.11600000,65145.30000000,0,California,Midpines,95345,37.58149600,-119.97276200,Female,No,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5108
2959-FENLU,2021-08-01,97.24200000,89079.60000000,0,California,Los Gatos,95033,37.16019400,-121.94561100,Female,No,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),5850
5014-GSOUQ,2021-08-01,22.74300000,27776.10000000,0,California,Grass Valley,95945,39.19453900,-120.98806600,Male,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,2884
3466-WAESX,2021-08-01,78.77400000,123541.80000000,0,California,Rancho Cucamonga,91701,34.13227500,-117.61147800,Male,No,No,Yes,16,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,5172
8630-QSGXK,2021-08-01,85.72800000,444742.50000000,0,California,Pinon Hills,92372,34.45932200,-117.62972900,Male,No,Yes,No,51,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4708
3160-TYXLT,2021-08-01,52.78200000,290340.90000000,0,California,Palmdale,93552,34.55771100,-118.02944100,Male,No,No,No,53,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),6245
5136-GFPMB,2021-08-01,101.91600000,555123.00000000,0,California,Spring Valley,91978,32.73026400,-116.95096300,Male,No,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),5871
1206-EHBDD,2021-08-01,91.54200000,514556.10000000,0,California,Rodeo,94572,38.02721800,-122.23463000,Female,No,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),6203
3621-CHYVB,2021-08-01,56.88600000,317193.60000000,0,California,Soquel,95073,37.02366900,-121.94646100,Female,No,Yes,No,57,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),5866
4534-WGCIR,2021-08-01,28.67100000,172128.60000000,0,California,Covina,91723,34.08474700,-117.88684400,Female,No,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),6444
3999-WRNGR,2021-08-01,56.71500000,349917.30000000,0,California,Soda Springs,95728,39.27906800,-120.41427500,Female,No,Yes,Yes,60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,6307
2162-FRZAA,2021-08-01,39.92451000,243001.77300000,3,California,Fort Irwin,92310,35.34924100,-116.77028100,Male,No,Yes,Yes,63,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),5374
5989-AXPUC,2021-08-01,120.33156000,810670.47300000,3,California,Garden Grove,92840,33.78716500,-117.93188900,Female,No,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,4175
2676-ISHSF,2021-08-01,18.28218000,1828.21800000,6,California,Anderson,96007,40.44863200,-122.30665700,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5203
5022-JNQEQ,2021-08-01,68.31051000,58313.85000000,6,California,Esparto,95627,38.83446900,-122.12719300,Female,No,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,4843
6633-SYEUS,2021-08-01,74.92992000,183028.93800000,6,California,San Diego,92127,33.01751800,-117.11845600,Female,No,No,No,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),2061
5199-FPUSP,2021-08-01,30.66543000,100322.33700000,6,California,Esparto,95627,38.83446900,-122.12719300,Male,No,No,Yes,33,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),3044
2777-PHDEI,2021-08-01,0.00000000,0.00000000,0,California,Ahwahnee,93601,37.37581600,-119.73993500,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,3458
3428-XZMAZ,2021-08-01,0.00000000,0.00000000,0,California,Turlock,95382,37.52965600,-120.85435700,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5796
9940-RHLFB,2021-08-01,0.00000000,0.00000000,0,California,Sunset Beach,90742,33.71922100,-118.07359600,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,2176
1493-AMTIE,2021-08-01,0.00000000,0.00000000,0,California,Ivanhoe,93235,36.38581800,-119.22424300,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),5394
8364-TRMMK,2021-08-01,0.00000000,0.00000000,0,California,San Jose,95132,37.42465500,-121.74841000,Female,No,No,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,2876
1010-DIAUQ,2021-08-01,0.00000000,0.00000000,0,California,San Diego,92116,32.76529900,-117.12256500,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),5383
1009-IRMNA,2021-08-01,0.00000000,0.00000000,0,California,Port Hueneme,93041,34.11012400,-119.10097200,Female,No,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),4479
5842-POCOP,2021-08-01,0.00000000,0.00000000,8,California,Randsburg,93554,35.40572200,-117.77335400,Female,No,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,4356
4283-IVYCI,2021-08-01,74.04300000,62449.20000000,0,California,Sacramento,95832,38.44593900,-121.49685500,Male,No,No,No,9,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,3013
8865-TNMNX,2021-08-01,56.48700000,54229.80000000,0,California,Los Angeles,90043,33.98854300,-118.33408100,Male,No,Yes,No,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,2392
8332-OSJDW,2021-08-01,30.09600000,35904.30000000,0,California,Los Angeles,90038,34.08801700,-118.32716800,Male,No,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,3277
7996-BPXHY,2021-08-01,28.50000000,37905.00000000,0,California,San Francisco,94111,37.80177600,-122.40229300,Female,No,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),4734
3703-KBKZP,2021-08-01,84.87300000,143793.90000000,0,California,Standish,96128,40.34663400,-120.38642200,Male,Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),5111
4472-VESGY,2021-08-01,111.89100000,569247.60000000,0,California,Durham,95938,39.60783100,-121.77795900,Female,No,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),5123
7271-AJDTL,2021-08-01,107.67300000,578333.40000000,0,California,Sacramento,95816,38.57485600,-121.46504000,Female,No,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),5577
5893-PYOLZ,2021-08-01,93.25200000,516927.30000000,0,California,San Leandro,94578,37.70438400,-122.12670300,Male,No,No,No,56,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4399
5140-FOMCQ,2021-08-01,124.43100000,747583.50000000,0,California,Oakland,94602,37.80388300,-122.20841700,Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),5186
2683-JXWQQ,2021-08-01,38.30400000,241360.80000000,0,California,Visalia,93291,36.39177700,-119.37284200,Male,No,Yes,Yes,61,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),6495
6096-EGVTU,2021-08-01,25.26354000,161879.43000000,3,California,San Jose,95120,37.18614100,-121.84355400,Female,No,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,5038
1043-UXOVO,2021-08-01,114.80199000,811000.21800000,3,California,Sacramento,95830,38.49050800,-121.28417100,Female,No,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4955
3845-JHAMY,2021-08-01,31.97130000,49776.16200000,6,California,Inverness,94937,38.09932300,-122.94572300,Female,No,Yes,Yes,16,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2069
9945-PSVIP,2021-08-01,16.84122000,34551.51900000,6,California,Dulzura,91917,32.62299900,-116.68785500,Female,No,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,2289
0969-RGKCU,2021-08-01,17.83188000,60975.12300000,6,California,Woodland Hills,91367,34.17806800,-118.61571400,Male,No,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),5137
3066-RRJIO,2021-08-01,0.00000000,0.00000000,0,California,San Francisco,94132,37.72230200,-122.49112900,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,5341
8058-INTPH,2021-08-01,0.00000000,0.00000000,0,California,Oceanside,92056,33.19474200,-117.29032000,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2119
0231-LXVAP,2021-08-01,0.00000000,0.00000000,0,California,Tipton,93272,36.04741400,-119.34430400,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,3389
4592-IWTJI,2021-08-01,0.00000000,0.00000000,0,California,Homewood,96141,39.11701800,-120.21253500,Female,No,Yes,Yes,3,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),2613
2952-QAYZF,2021-08-01,0.00000000,0.00000000,0,California,Sacramento,95828,38.48693800,-121.39580500,Male,No,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,2264
1735-XMJVH,2021-08-01,22.05900000,17396.40000000,0,California,Sacramento,95818,38.55630600,-121.49581700,Male,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,5416
2754-SDJRD,2021-08-01,114.17100000,103574.70000000,0,California,Somis,93066,34.29762800,-119.01462700,Female,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5157
7853-GVUDZ,2021-08-01,0.00000000,0.00000000,8,California,Los Angeles,90004,34.07625900,-118.31071500,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),4277
3874-EQOEP,2021-08-01,0.00000000,0.00000000,8,California,Long Beach,90804,33.78304700,-118.14860000,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,2786
9444-JTXHZ,2021-08-01,0.00000000,0.00000000,8,California,Tulare,93274,36.18547100,-119.37524300,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,5973
4160-AMJTL,2021-08-01,0.00000000,0.00000000,8,California,Fellows,93224,35.21573100,-119.57013000,Female,Yes,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,5432
4391-RESHN,2021-08-01,0.00000000,0.00000000,8,California,Lemon Cove,93244,36.46267100,-118.99729100,Male,No,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,5963
6595-COKXZ,2021-08-01,0.00000000,0.00000000,8,California,Plymouth,95669,38.48927300,-120.89161400,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,4879
9530-EHPOH,2021-08-01,0.00000000,0.00000000,8,California,El Cajon,92019,32.78516500,-116.86264800,Male,No,No,No,11,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,3407
9378-FXTIZ,2021-08-01,0.00000000,0.00000000,8,California,San Diego,92119,32.80295900,-117.02709500,Female,No,Yes,No,54,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),4596
5515-RUGKN,2021-08-01,62.41500000,49937.70000000,0,California,Beverly Hills,90211,34.06394700,-118.38300100,Male,No,No,No,8,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),5317
2005-DWQZJ,2021-08-01,21.71700000,22993.80000000,0,California,Stevenson Ranch,91381,34.36415300,-118.61558300,Female,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,3153
3948-FVVRP,2021-08-01,62.47200000,51619.20000000,0,California,Santa Maria,93455,34.81822700,-120.41878400,Male,No,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,2848
5018-HEKFO,2021-08-01,27.93000000,30797.10000000,0,California,Rowland Heights,91748,33.97675300,-117.89736700,Female,No,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,5594
1877-HKBQX,2021-08-01,62.24400000,70434.90000000,0,California,Cerritos,90703,33.86810000,-118.06740200,Female,No,No,No,11,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,2573
5039-LZRQT,2021-08-01,23.02800000,31150.50000000,0,California,Mountain Center,92561,33.63864500,-116.55783000,Female,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,2953
1384-RCUXW,2021-08-01,91.82700000,142374.60000000,0,California,French Gulch,96033,40.74013800,-122.58747600,Male,No,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,5183
2252-NKNSI,2021-08-01,97.07100000,508650.90000000,0,California,Salinas,93905,36.66779400,-121.60130600,Male,No,No,No,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,4322
5126-RCXYW,2021-08-01,52.44000000,276341.70000000,0,California,Alhambra,91803,34.07473600,-118.14595900,Male,No,Yes,Yes,54,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),4451
1091-SOZGA,2021-08-01,113.77200000,628761.30000000,0,California,La Palma,90623,33.85050400,-118.03989200,Female,No,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),4606
